pro_code,pro,year,pop,rubanpop,ruralpop,gdp_nominal,gdp_1952,revenue,price_index,agri_total_employed,agri_total_output_nominal,agri_total_output_1952,crop_total_output_nominal,crop_total_output_index,crop_production,cotton_production,oil_production,livestock_num,working_livestock_num,pigs_num,sheep_num,machine_power,irrigated_area,crop_cultivation_area,oil_cultivation_area,crop_cultivation_area,fertilizer,electric,crop_procurement,crop_transfer,total_collective_percent,mutual_group_percent,primary_collective_percent,advanced_collective_percent,ind_total_employed,ind_total_output_nominal,ind_total_output_weighted,heavy_total_output_value_nominal,light_total_output_value_nominal,coal_production,steel_production,steel_product_production,cement_production,electric_power_production,infrastructure_total_invest,infrastructure_fixed_assets,infrastructure_rail,infrastructure_road,primary_num,middle_num,college_num,private_sector_num_1953,coop_sector_num_1953,coop_sector_num_1954,coop_sector_num_1955,coop_sector_num_1956,private_employees_1953,private_industry_output_1953,coop_employees_num_1956,coop_output_1956
11,Beijing,1950,439.3,178.7,241.4,4.63,,0.66,,,1.07,,,,54,0.8,2.7,24.9,,42.9,10.9,,16,﻿５３９,34,20,0.004,0.0015,,,,,,,,1.52,,2.34,1.21,80.6,0.1,0.09,11.1,2,,0.3,,,34.87,5.39,1.69,7061,16,23,60,518,95510,408210,83825,494845
11,Beijing,1951,463.6,179.8,259.5,7.66,,1.4,114.2,,1.76,,,,62.3,0.5,3.4,26.7,,49.4,14.8,,20,﻿５４１,39,23,0.005,0.0034,,,24.09,24.09,,,,2.52,,4.57,2.35,174.1,0.1,0.11,13.1,2.3,,0.9,135,,43.37,5.87,2,,,,,,,,,
11,Beijing,1952,489.9,201.3,262.3,7.88,100,2.09,104.1,,1.75,100,,,73.3,0.8,4.3,32.2,,61,21.8,,25,﻿５６２,42,31,0.01,0.0051,,,58.41,58.33,0.081,,,2.69,100,5.08,3.24,222,0.2,0.24,20.4,2.8,,1,135,,57.87,8.34,3.06,,,,,,,,,
11,Beijing,1953,512.9,241.3,271.2,19.28,237.3,3.66,110,,3.37,193.3,,,80.1,0.5,3.8,33.5,,61.4,26.5,,24,﻿６００,35,20,0.01,0.004,15,72.3,38.33,37.52,0.759,0.051,,6.12,227.5,7.01,4.88,187.7,0.4,0.5,26.7,3.5,6.71,4.6,160,,58.41,10.47,3.73,,,,,,,,,
11,Beijing,1954,555.7,282.1,273.6,21.13,259.4,3.98,101.8,,3.01,168.8,,,58.2,0.6,3.3,37.3,,68.1,31.8,,24,﻿５６６,43,41,0.03,0.003,9.9,74.7,58.94,50.77,5.085,3.093,,6.85,255,8.32,5.4,178.4,0.4,0.5,29.1,3.9,8.36,7.3,166,,60.44,12.71,4.67,,,,,,,,,
11,Beijing,1955,563.8,287.8,276,23.88,293.1,4.06,100.8,,3.44,196.4,,,73.4,1,4.7,35.7,,50.2,25.6,,24,﻿５６９,42,42,0.08,0.0045,13.2,70.5,56.11,12.5,35.516,8.97,,7.6,283.1,9.34,5.92,197.1,0.6,0.94,35,4.4,7.52,6.4,228,,63.58,15.01,5.74,,,,,,,,,
11,Beijing,1956,617.5,328.1,289.4,26.83,342.3,5.81,100.3,,3.32,190.3,,,57,0.6,3.7,35.1,,59.3,28.8,,36,﻿５６８,41,43,0.1,0.0111,3.4,89.6,99.6,,,99.6,,8.67,368.9,12.5,8.53,184.5,1.3,0.95,41.6,5.7,9.37,8.9,263,,69.87,19.62,7.67,,,,,,,,,
11,Beijing,1957,633.4,349.1,284.3,32.81,429.3,6.4,100.8,,3.49,217.4,21210,100,78.4,0.6,3.3,32.7,25.2,89.2,31.1,2.2,39,﻿５７２,36,28,0.21,0.0316,16.3,85,,,,,,12.4,527.8,12.47,8.96,256.8,2.8,1.09,44.6,7,8.74,7.5,265,1155,72.88,23.19,7.97,,,,,,,,,
11,Beijing,1958,658.8,365.2,293.6,34.52,461.9,11.47,99.5,,3.93,216.7,24234,114.3,84.4,0.8,3.5,32,22.6,89.2,39,,95,﻿５０４,30,27,0.2,0.1406,13.4,92.8,,,,,,17.32,649.8,22.51,23.51,459.5,12,5.18,50.3,10.5,12.2,12.1,448,1328,82.08,27.09,9.78,,,,,,,,,
11,Beijing,1959,706.9,421,285.9,46.28,640.7,15.38,99.7,,3.96,220.4,24198,114.1,57.9,0.3,1.4,30.6,21.9,84.1,46.2,,137,﻿４５１,31,15,0.34,0.2473,7.8,111.4,,,,,,25.13,972.7,33.98,36.31,673.8,38,25.19,58.4,20.6,16.87,17.9,519,2017,91.62,30.51,11.3,,,,,,,,,
